연도,월,금리
2021,1,0.5
2021,2,0.5
2021,3,0.5
2021,4,0.5
2021,5,0.5
2021,6,0.5
2021,7,0.5
2021,8,0.75
2021,9,0.75
2021,10,0.75
2021,11,1
2021,12,1
2022,1,1.25
2022,2,1.25
2022,3,1.25
2022,4,1.5
2022,5,1.75
2022,6,1.75
2022,7,2.25
2022,8,2.5
2022,9,2.5
2022,10,3
2022,11,3.25
2022,12,3.25
2023,1,3.5
2023,2,3.5
2023,3,3.5
2023,4,3.5
2023,5,3.5
2023,6,3.5
2023,7,3.5
2023,8,3.5
2023,9,3.5
2023,10,3.5
2023,11,3.5
2023,12,3.5
2024,1,3.5
2024,2,3.5
2024,3,3.5
2024,4,3.5
2024,5,3.5
2024,6,3.5
2024,7,3.5
2024,8,3.5
2024,9,3.5
2024,10,3.25
2024,11,3
2024,12,3
2025,1,3
2025,2,2.75
2025,3,2.75
2025,4,2.75
2025,5,2.5
2025,6,2.5
2025,7,2.5
2025,8,2.5
